CNO,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,
C95,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C96,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C97,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
C98,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,,,,,,,,,,
C99,whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C100,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C101,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C102,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,
C103,frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C104,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,,,,,,,,,,
C105,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C106,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C107,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,
C108,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
C109,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C110,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C111,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,
C112,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C113,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
C114,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C115,citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C116,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C117,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,
C118,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
C119,whole milk,cream cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C120,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
C121,frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C122,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C123,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C124,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C125,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C126,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,
C127,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C128,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C129,sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C130,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C131,frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C132,whole milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C133,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C134,berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C135,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C136,tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C137,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C138,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C139,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C140,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C141,frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
C142,other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C143,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C144,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C145,citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
C146,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C147,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,
C148,butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
C149,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,
C150,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C151,other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C152,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,,,,,,,,,,,,,,,,,,,,,,,,
C153,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C154,grapes,other vegetables,curd,dessert,yogurt,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
C155,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,
C156,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C157,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C158,whole milk,rolls/buns,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
C159,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,
C160,beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
C161,whole milk,butter,dessert,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C162,frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C163,tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C164,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C165,finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C166,beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C167,hamburger meat,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C168,whole milk,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C169,finished products,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C170,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C171,ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
C172,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C173,curd,butter milk,cocoa drinks,salty snack,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,
C174,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C175,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
C176,whole milk,cream cheese,cereals,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C177,whole milk,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C178,dessert,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C179,sausage,soft cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C180,other vegetables,bottled water,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C181,ham,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C182,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C183,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C184,soda,bottled beer,white wine,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C185,herbs,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C186,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles,,,,,,,,,
C187,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C188,curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
C189,frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C190,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C191,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C192,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C193,curd,salt,liquor (appetizer),detergent,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C194,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C195,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C196,beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,
C197,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C198,pork,beef,pip fruit,herbs,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,
C199,frankfurter,citrus fruit,UHT-milk,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
C200,sausage,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C201,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C202,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C203,curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C204,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C205,whole milk,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C206,rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C207,pork,root vegetables,other vegetables,whole milk,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
C208,citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C209,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C210,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C211,butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,
C212,condensed milk,sugar,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C213,sausage,other vegetables,yogurt,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C214,whole milk,beverages,UHT-milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C215,sausage,pork,beef,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,
C216,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C217,beverages,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C218,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C219,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C220,cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C221,sausage,soda,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C222,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C223,sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware,,,,,,,,,,,,,,,,,,,,
C224,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C225,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C226,sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C227,meat,curd,bottled beer,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C228,frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
C229,ice cream,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C230,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C231,tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C232,meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns,brown bread,tea,bottled water,,,,,,,,,,,,,,,,,,,,
C233,whole milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C234,sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
C235,frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,
C236,meat,other vegetables,butter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C237,root vegetables,beverages,Instant food products,pickled vegetables,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
C238,root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
C239,whole milk,whipped/sour cream,semi-finished bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C240,citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins,,,,,,,,,,,,,,,,
C241,citrus fruit,curd,pastry,margarine,sugar,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
C242,other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins,,,,,,,,,,,,,,,,,,,,,,,,
C243,citrus fruit,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C244,sausage,oil,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C245,frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,
C246,hard cheese,rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C247,cream cheese,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C248,turkey,beef,frozen vegetables,dishes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,
C249,pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C250,whole milk,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C251,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C252,sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,
C253,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C254,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C255,pip fruit,other vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C256,root vegetables,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C257,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C258,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C259,sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,
C260,root vegetables,whole milk,pet care,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C261,pork,berries,root vegetables,other vegetables,pastry,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,
C262,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C263,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C264,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C265,pickled vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C266,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C267,frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices,,,,,,,,,,,,,,,,,,,,,,,,,
